Organism,Year,Ladder_Step,Count,Percent,Total_N,Sufficient
Klebsiella pneumoniae,2015,0,481,67.94,708,YES
Klebsiella pneumoniae,2015,1,52,7.34,708,YES
Klebsiella pneumoniae,2015,2,115,16.24,708,YES
Klebsiella pneumoniae,2015,3,34,4.8,708,YES
Klebsiella pneumoniae,2015,4,26,3.67,708,YES
Klebsiella pneumoniae,2016,0,458,61.56,744,YES
Klebsiella pneumoniae,2016,1,80,10.75,744,YES
Klebsiella pneumoniae,2016,2,137,18.41,744,YES
Klebsiella pneumoniae,2016,3,45,6.05,744,YES
Klebsiella pneumoniae,2016,4,24,3.23,744,YES
Klebsiella pneumoniae,2017,0,411,57.97,709,YES
Klebsiella pneumoniae,2017,1,86,12.13,709,YES
Klebsiella pneumoniae,2017,2,138,19.46,709,YES
Klebsiella pneumoniae,2017,3,37,5.22,709,YES
Klebsiella pneumoniae,2017,4,37,5.22,709,YES
Klebsiella pneumoniae,2018,0,402,54.18,742,YES
Klebsiella pneumoniae,2018,1,20,2.7,742,YES
Klebsiella pneumoniae,2018,2,207,27.9,742,YES
Klebsiella pneumoniae,2018,3,0,0.0,742,YES
Klebsiella pneumoniae,2018,4,113,15.23,742,YES
Klebsiella pneumoniae,2019,0,578,52.26,1106,YES
Klebsiella pneumoniae,2019,1,56,5.06,1106,YES
Klebsiella pneumoniae,2019,2,272,24.59,1106,YES
Klebsiella pneumoniae,2019,3,0,0.0,1106,YES
Klebsiella pneumoniae,2019,4,200,18.08,1106,YES
Klebsiella pneumoniae,2020,0,633,54.06,1171,YES
Klebsiella pneumoniae,2020,1,43,3.67,1171,YES
Klebsiella pneumoniae,2020,2,275,23.48,1171,YES
Klebsiella pneumoniae,2020,3,0,0.0,1171,YES
Klebsiella pneumoniae,2020,4,220,18.79,1171,YES
Klebsiella pneumoniae,2021,0,633,50.72,1248,YES
Klebsiella pneumoniae,2021,1,45,3.61,1248,YES
Klebsiella pneumoniae,2021,2,317,25.4,1248,YES
Klebsiella pneumoniae,2021,3,0,0.0,1248,YES
Klebsiella pneumoniae,2021,4,253,20.27,1248,YES
Klebsiella pneumoniae,2022,0,670,58.11,1153,YES
Klebsiella pneumoniae,2022,1,36,3.12,1153,YES
Klebsiella pneumoniae,2022,2,238,20.64,1153,YES
Klebsiella pneumoniae,2022,3,0,0.0,1153,YES
Klebsiella pneumoniae,2022,4,209,18.13,1153,YES
Klebsiella pneumoniae,2023,0,536,54.31,987,YES
Klebsiella pneumoniae,2023,1,45,4.56,987,YES
Klebsiella pneumoniae,2023,2,196,19.86,987,YES
Klebsiella pneumoniae,2023,3,0,0.0,987,YES
Klebsiella pneumoniae,2023,4,210,21.28,987,YES
Klebsiella pneumoniae,2024,0,620,52.54,1180,YES
Klebsiella pneumoniae,2024,1,63,5.34,1180,YES
Klebsiella pneumoniae,2024,2,242,20.51,1180,YES
Klebsiella pneumoniae,2024,3,0,0.0,1180,YES
Klebsiella pneumoniae,2024,4,255,21.61,1180,YES
Acinetobacter baumannii,2004,0,35,24.65,142,YES
Acinetobacter baumannii,2004,1,35,24.65,142,YES
Acinetobacter baumannii,2004,2,39,27.46,142,YES
Acinetobacter baumannii,2004,3,33,23.24,142,YES
Acinetobacter baumannii,2004,4,0,0.0,142,YES
Acinetobacter baumannii,2005,0,35,26.12,134,YES
Acinetobacter baumannii,2005,1,39,29.1,134,YES
Acinetobacter baumannii,2005,2,29,21.64,134,YES
Acinetobacter baumannii,2005,3,31,23.13,134,YES
Acinetobacter baumannii,2005,4,0,0.0,134,YES
Acinetobacter baumannii,2006,0,45,23.68,190,YES
Acinetobacter baumannii,2006,1,34,17.89,190,YES
Acinetobacter baumannii,2006,2,25,13.16,190,YES
Acinetobacter baumannii,2006,3,86,45.26,190,YES
Acinetobacter baumannii,2006,4,0,0.0,190,YES
Acinetobacter baumannii,2007,0,44,18.97,232,YES
Acinetobacter baumannii,2007,1,56,24.14,232,YES
Acinetobacter baumannii,2007,2,42,18.1,232,YES
Acinetobacter baumannii,2007,3,90,38.79,232,YES
Acinetobacter baumannii,2007,4,0,0.0,232,YES
Acinetobacter baumannii,2008,0,43,17.0,253,YES
Acinetobacter baumannii,2008,1,51,20.16,253,YES
Acinetobacter baumannii,2008,2,18,7.11,253,YES
Acinetobacter baumannii,2008,3,141,55.73,253,YES
Acinetobacter baumannii,2008,4,0,0.0,253,YES
Acinetobacter baumannii,2009,0,40,16.46,243,YES
Acinetobacter baumannii,2009,1,52,21.4,243,YES
Acinetobacter baumannii,2009,2,22,9.05,243,YES
Acinetobacter baumannii,2009,3,129,53.09,243,YES
Acinetobacter baumannii,2009,4,0,0.0,243,YES
Acinetobacter baumannii,2010,0,32,15.84,202,YES
Acinetobacter baumannii,2010,1,38,18.81,202,YES
Acinetobacter baumannii,2010,2,26,12.87,202,YES
Acinetobacter baumannii,2010,3,106,52.48,202,YES
Acinetobacter baumannii,2010,4,0,0.0,202,YES
Acinetobacter baumannii,2011,0,36,31.86,113,YES
Acinetobacter baumannii,2011,1,21,18.58,113,YES
Acinetobacter baumannii,2011,2,6,5.31,113,YES
Acinetobacter baumannii,2011,3,50,44.25,113,YES
Acinetobacter baumannii,2011,4,0,0.0,113,YES
Acinetobacter baumannii,2012,0,11,15.07,73,YES
Acinetobacter baumannii,2012,1,11,15.07,73,YES
Acinetobacter baumannii,2012,2,6,8.22,73,YES
Acinetobacter baumannii,2012,3,45,61.64,73,YES
Acinetobacter baumannii,2012,4,0,0.0,73,YES
Acinetobacter baumannii,2013,0,12,14.63,82,YES
Acinetobacter baumannii,2013,1,6,7.32,82,YES
Acinetobacter baumannii,2013,2,6,7.32,82,YES
Acinetobacter baumannii,2013,3,58,70.73,82,YES
Acinetobacter baumannii,2013,4,0,0.0,82,YES
Acinetobacter baumannii,2014,0,30,19.87,151,YES
Acinetobacter baumannii,2014,1,6,3.97,151,YES
Acinetobacter baumannii,2014,2,6,3.97,151,YES
Acinetobacter baumannii,2014,3,74,49.01,151,YES
Acinetobacter baumannii,2014,4,35,23.18,151,YES
Acinetobacter baumannii,2015,0,28,24.35,115,YES
Acinetobacter baumannii,2015,1,7,6.09,115,YES
Acinetobacter baumannii,2015,2,4,3.48,115,YES
Acinetobacter baumannii,2015,3,59,51.3,115,YES
Acinetobacter baumannii,2015,4,17,14.78,115,YES
Acinetobacter baumannii,2016,0,26,21.85,119,YES
Acinetobacter baumannii,2016,1,11,9.24,119,YES
Acinetobacter baumannii,2016,2,3,2.52,119,YES
Acinetobacter baumannii,2016,3,59,49.58,119,YES
Acinetobacter baumannii,2016,4,20,16.81,119,YES
Acinetobacter baumannii,2017,0,16,22.86,70,YES
Acinetobacter baumannii,2017,1,5,7.14,70,YES
Acinetobacter baumannii,2017,2,0,0.0,70,YES
Acinetobacter baumannii,2017,3,49,70.0,70,YES
Acinetobacter baumannii,2017,4,0,0.0,70,YES
Acinetobacter baumannii,2018,0,47,27.01,174,YES
Acinetobacter baumannii,2018,1,6,3.45,174,YES
Acinetobacter baumannii,2018,2,5,2.87,174,YES
Acinetobacter baumannii,2018,3,0,0.0,174,YES
Acinetobacter baumannii,2018,4,116,66.67,174,YES
Acinetobacter baumannii,2019,0,85,23.88,356,YES
Acinetobacter baumannii,2019,1,3,0.84,356,YES
Acinetobacter baumannii,2019,2,10,2.81,356,YES
Acinetobacter baumannii,2019,3,0,0.0,356,YES
Acinetobacter baumannii,2019,4,258,72.47,356,YES
Acinetobacter baumannii,2020,0,101,29.19,346,YES
Acinetobacter baumannii,2020,1,2,0.58,346,YES
Acinetobacter baumannii,2020,2,7,2.02,346,YES
Acinetobacter baumannii,2020,3,0,0.0,346,YES
Acinetobacter baumannii,2020,4,236,68.21,346,YES
Acinetobacter baumannii,2021,0,92,25.92,355,YES
Acinetobacter baumannii,2021,1,9,2.54,355,YES
Acinetobacter baumannii,2021,2,8,2.25,355,YES
Acinetobacter baumannii,2021,3,0,0.0,355,YES
Acinetobacter baumannii,2021,4,246,69.3,355,YES
Acinetobacter baumannii,2022,0,84,24.93,337,YES
Acinetobacter baumannii,2022,1,3,0.89,337,YES
Acinetobacter baumannii,2022,2,7,2.08,337,YES
Acinetobacter baumannii,2022,3,0,0.0,337,YES
Acinetobacter baumannii,2022,4,243,72.11,337,YES
Acinetobacter baumannii,2023,0,55,23.01,239,YES
Acinetobacter baumannii,2023,1,2,0.84,239,YES
Acinetobacter baumannii,2023,2,3,1.26,239,YES
Acinetobacter baumannii,2023,3,0,0.0,239,YES
Acinetobacter baumannii,2023,4,179,74.9,239,YES
Acinetobacter baumannii,2024,0,45,20.36,221,YES
Acinetobacter baumannii,2024,1,2,0.9,221,YES
Acinetobacter baumannii,2024,2,0,0.0,221,YES
Acinetobacter baumannii,2024,3,0,0.0,221,YES
Acinetobacter baumannii,2024,4,174,78.73,221,YES
Escherichia coli,2004,0,480,88.24,544,YES
Escherichia coli,2004,1,17,3.12,544,YES
Escherichia coli,2004,2,46,8.46,544,YES
Escherichia coli,2004,3,1,0.18,544,YES
Escherichia coli,2004,4,0,0.0,544,YES
Escherichia coli,2005,0,609,91.44,666,YES
Escherichia coli,2005,1,14,2.1,666,YES
Escherichia coli,2005,2,42,6.31,666,YES
Escherichia coli,2005,3,1,0.15,666,YES
Escherichia coli,2005,4,0,0.0,666,YES
Escherichia coli,2006,0,756,87.7,862,YES
Escherichia coli,2006,1,27,3.13,862,YES
Escherichia coli,2006,2,77,8.93,862,YES
Escherichia coli,2006,3,2,0.23,862,YES
Escherichia coli,2006,4,0,0.0,862,YES
Escherichia coli,2007,0,952,84.62,1125,YES
Escherichia coli,2007,1,31,2.76,1125,YES
Escherichia coli,2007,2,130,11.56,1125,YES
Escherichia coli,2007,3,12,1.07,1125,YES
Escherichia coli,2007,4,0,0.0,1125,YES
Escherichia coli,2008,0,842,78.62,1071,YES
Escherichia coli,2008,1,52,4.86,1071,YES
Escherichia coli,2008,2,169,15.78,1071,YES
Escherichia coli,2008,3,8,0.75,1071,YES
Escherichia coli,2008,4,0,0.0,1071,YES
Escherichia coli,2009,0,872,75.63,1153,YES
Escherichia coli,2009,1,50,4.34,1153,YES
Escherichia coli,2009,2,226,19.6,1153,YES
Escherichia coli,2009,3,5,0.43,1153,YES
Escherichia coli,2009,4,0,0.0,1153,YES
Escherichia coli,2010,0,558,61.86,902,YES
Escherichia coli,2010,1,173,19.18,902,YES
Escherichia coli,2010,2,167,18.51,902,YES
Escherichia coli,2010,3,4,0.44,902,YES
Escherichia coli,2010,4,0,0.0,902,YES
Escherichia coli,2011,0,578,82.1,704,YES
Escherichia coli,2011,1,24,3.41,704,YES
Escherichia coli,2011,2,102,14.49,704,YES
Escherichia coli,2011,3,0,0.0,704,YES
Escherichia coli,2011,4,0,0.0,704,YES
Escherichia coli,2012,0,538,80.42,669,YES
Escherichia coli,2012,1,33,4.93,669,YES
Escherichia coli,2012,2,96,14.35,669,YES
Escherichia coli,2012,3,2,0.3,669,YES
Escherichia coli,2012,4,0,0.0,669,YES
Escherichia coli,2013,0,673,81.97,821,YES
Escherichia coli,2013,1,30,3.65,821,YES
Escherichia coli,2013,2,114,13.89,821,YES
Escherichia coli,2013,3,4,0.49,821,YES
Escherichia coli,2013,4,0,0.0,821,YES
Escherichia coli,2014,0,838,77.09,1087,YES
Escherichia coli,2014,1,38,3.5,1087,YES
Escherichia coli,2014,2,210,19.32,1087,YES
Escherichia coli,2014,3,1,0.09,1087,YES
Escherichia coli,2014,4,0,0.0,1087,YES
Escherichia coli,2015,0,861,75.79,1136,YES
Escherichia coli,2015,1,54,4.75,1136,YES
Escherichia coli,2015,2,216,19.01,1136,YES
Escherichia coli,2015,3,1,0.09,1136,YES
Escherichia coli,2015,4,4,0.35,1136,YES
Escherichia coli,2016,0,847,73.4,1154,YES
Escherichia coli,2016,1,53,4.59,1154,YES
Escherichia coli,2016,2,247,21.4,1154,YES
Escherichia coli,2016,3,4,0.35,1154,YES
Escherichia coli,2016,4,3,0.26,1154,YES
Escherichia coli,2017,0,731,74.14,986,YES
Escherichia coli,2017,1,55,5.58,986,YES
Escherichia coli,2017,2,193,19.57,986,YES
Escherichia coli,2017,3,2,0.2,986,YES
Escherichia coli,2017,4,5,0.51,986,YES
Escherichia coli,2018,0,895,72.29,1238,YES
Escherichia coli,2018,1,46,3.72,1238,YES
Escherichia coli,2018,2,280,22.62,1238,YES
Escherichia coli,2018,3,0,0.0,1238,YES
Escherichia coli,2018,4,17,1.37,1238,YES
Escherichia coli,2019,0,948,71.49,1326,YES
Escherichia coli,2019,1,48,3.62,1326,YES
Escherichia coli,2019,2,311,23.45,1326,YES
Escherichia coli,2019,3,0,0.0,1326,YES
Escherichia coli,2019,4,19,1.43,1326,YES
Escherichia coli,2020,0,1132,75.17,1506,YES
Escherichia coli,2020,1,50,3.32,1506,YES
Escherichia coli,2020,2,295,19.59,1506,YES
Escherichia coli,2020,3,0,0.0,1506,YES
Escherichia coli,2020,4,29,1.93,1506,YES
Escherichia coli,2021,0,1144,74.48,1536,YES
Escherichia coli,2021,1,72,4.69,1536,YES
Escherichia coli,2021,2,298,19.4,1536,YES
Escherichia coli,2021,3,0,0.0,1536,YES
Escherichia coli,2021,4,22,1.43,1536,YES
Escherichia coli,2022,0,1164,75.39,1544,YES
Escherichia coli,2022,1,70,4.53,1544,YES
Escherichia coli,2022,2,291,18.85,1544,YES
Escherichia coli,2022,3,0,0.0,1544,YES
Escherichia coli,2022,4,19,1.23,1544,YES
Escherichia coli,2023,0,950,74.63,1273,YES
Escherichia coli,2023,1,50,3.93,1273,YES
Escherichia coli,2023,2,251,19.72,1273,YES
Escherichia coli,2023,3,0,0.0,1273,YES
Escherichia coli,2023,4,22,1.73,1273,YES
Escherichia coli,2024,0,1020,74.34,1372,YES
Escherichia coli,2024,1,60,4.37,1372,YES
Escherichia coli,2024,2,273,19.9,1372,YES
Escherichia coli,2024,3,0,0.0,1372,YES
Escherichia coli,2024,4,19,1.38,1372,YES
Staphylococcus aureus,2004,0,310,100.0,310,YES
Staphylococcus aureus,2004,1,0,0.0,310,YES
Staphylococcus aureus,2004,2,0,0.0,310,YES
Staphylococcus aureus,2004,3,0,0.0,310,YES
Staphylococcus aureus,2004,4,0,0.0,310,YES
Staphylococcus aureus,2005,0,403,100.0,403,YES
Staphylococcus aureus,2005,1,0,0.0,403,YES
Staphylococcus aureus,2005,2,0,0.0,403,YES
Staphylococcus aureus,2005,3,0,0.0,403,YES
Staphylococcus aureus,2005,4,0,0.0,403,YES
Staphylococcus aureus,2006,0,526,100.0,526,YES
Staphylococcus aureus,2006,1,0,0.0,526,YES
Staphylococcus aureus,2006,2,0,0.0,526,YES
Staphylococcus aureus,2006,3,0,0.0,526,YES
Staphylococcus aureus,2006,4,0,0.0,526,YES
Staphylococcus aureus,2007,0,696,100.0,696,YES
Staphylococcus aureus,2007,1,0,0.0,696,YES
Staphylococcus aureus,2007,2,0,0.0,696,YES
Staphylococcus aureus,2007,3,0,0.0,696,YES
Staphylococcus aureus,2007,4,0,0.0,696,YES
Staphylococcus aureus,2008,0,685,100.0,685,YES
Staphylococcus aureus,2008,1,0,0.0,685,YES
Staphylococcus aureus,2008,2,0,0.0,685,YES
Staphylococcus aureus,2008,3,0,0.0,685,YES
Staphylococcus aureus,2008,4,0,0.0,685,YES
Staphylococcus aureus,2009,0,749,100.0,749,YES
Staphylococcus aureus,2009,1,0,0.0,749,YES
Staphylococcus aureus,2009,2,0,0.0,749,YES
Staphylococcus aureus,2009,3,0,0.0,749,YES
Staphylococcus aureus,2009,4,0,0.0,749,YES
Staphylococcus aureus,2010,0,509,100.0,509,YES
Staphylococcus aureus,2010,1,0,0.0,509,YES
Staphylococcus aureus,2010,2,0,0.0,509,YES
Staphylococcus aureus,2010,3,0,0.0,509,YES
Staphylococcus aureus,2010,4,0,0.0,509,YES
Staphylococcus aureus,2011,0,445,100.0,445,YES
Staphylococcus aureus,2011,1,0,0.0,445,YES
Staphylococcus aureus,2011,2,0,0.0,445,YES
Staphylococcus aureus,2011,3,0,0.0,445,YES
Staphylococcus aureus,2011,4,0,0.0,445,YES
Staphylococcus aureus,2012,0,361,100.0,361,YES
Staphylococcus aureus,2012,1,0,0.0,361,YES
Staphylococcus aureus,2012,2,0,0.0,361,YES
Staphylococcus aureus,2012,3,0,0.0,361,YES
Staphylococcus aureus,2012,4,0,0.0,361,YES
Staphylococcus aureus,2013,0,424,100.0,424,YES
Staphylococcus aureus,2013,1,0,0.0,424,YES
Staphylococcus aureus,2013,2,0,0.0,424,YES
Staphylococcus aureus,2013,3,0,0.0,424,YES
Staphylococcus aureus,2013,4,0,0.0,424,YES
Staphylococcus aureus,2014,0,943,100.0,943,YES
Staphylococcus aureus,2014,1,0,0.0,943,YES
Staphylococcus aureus,2014,2,0,0.0,943,YES
Staphylococcus aureus,2014,3,0,0.0,943,YES
Staphylococcus aureus,2014,4,0,0.0,943,YES
Staphylococcus aureus,2015,0,975,100.0,975,YES
Staphylococcus aureus,2015,1,0,0.0,975,YES
Staphylococcus aureus,2015,2,0,0.0,975,YES
Staphylococcus aureus,2015,3,0,0.0,975,YES
Staphylococcus aureus,2015,4,0,0.0,975,YES
Staphylococcus aureus,2016,0,1081,100.0,1081,YES
Staphylococcus aureus,2016,1,0,0.0,1081,YES
Staphylococcus aureus,2016,2,0,0.0,1081,YES
Staphylococcus aureus,2016,3,0,0.0,1081,YES
Staphylococcus aureus,2016,4,0,0.0,1081,YES
Staphylococcus aureus,2017,0,873,100.0,873,YES
Staphylococcus aureus,2017,1,0,0.0,873,YES
Staphylococcus aureus,2017,2,0,0.0,873,YES
Staphylococcus aureus,2017,3,0,0.0,873,YES
Staphylococcus aureus,2017,4,0,0.0,873,YES
Staphylococcus aureus,2018,0,920,100.0,920,YES
Staphylococcus aureus,2018,1,0,0.0,920,YES
Staphylococcus aureus,2018,2,0,0.0,920,YES
Staphylococcus aureus,2018,3,0,0.0,920,YES
Staphylococcus aureus,2018,4,0,0.0,920,YES
Staphylococcus aureus,2019,0,1316,100.0,1316,YES
Staphylococcus aureus,2019,1,0,0.0,1316,YES
Staphylococcus aureus,2019,2,0,0.0,1316,YES
Staphylococcus aureus,2019,3,0,0.0,1316,YES
Staphylococcus aureus,2019,4,0,0.0,1316,YES
Staphylococcus aureus,2020,0,1375,100.0,1375,YES
Staphylococcus aureus,2020,1,0,0.0,1375,YES
Staphylococcus aureus,2020,2,0,0.0,1375,YES
Staphylococcus aureus,2020,3,0,0.0,1375,YES
Staphylococcus aureus,2020,4,0,0.0,1375,YES
Staphylococcus aureus,2021,0,1600,100.0,1600,YES
Staphylococcus aureus,2021,1,0,0.0,1600,YES
Staphylococcus aureus,2021,2,0,0.0,1600,YES
Staphylococcus aureus,2021,3,0,0.0,1600,YES
Staphylococcus aureus,2021,4,0,0.0,1600,YES
Staphylococcus aureus,2022,0,1587,100.0,1587,YES
Staphylococcus aureus,2022,1,0,0.0,1587,YES
Staphylococcus aureus,2022,2,0,0.0,1587,YES
Staphylococcus aureus,2022,3,0,0.0,1587,YES
Staphylococcus aureus,2022,4,0,0.0,1587,YES
Staphylococcus aureus,2023,0,1251,100.0,1251,YES
Staphylococcus aureus,2023,1,0,0.0,1251,YES
Staphylococcus aureus,2023,2,0,0.0,1251,YES
Staphylococcus aureus,2023,3,0,0.0,1251,YES
Staphylococcus aureus,2023,4,0,0.0,1251,YES
Staphylococcus aureus,2024,0,1083,100.0,1083,YES
Staphylococcus aureus,2024,1,0,0.0,1083,YES
Staphylococcus aureus,2024,2,0,0.0,1083,YES
Staphylococcus aureus,2024,3,0,0.0,1083,YES
Staphylococcus aureus,2024,4,0,0.0,1083,YES
Pseudomonas aeruginosa,2004,0,148,72.55,204,YES
Pseudomonas aeruginosa,2004,1,10,4.9,204,YES
Pseudomonas aeruginosa,2004,2,25,12.25,204,YES
Pseudomonas aeruginosa,2004,3,21,10.29,204,YES
Pseudomonas aeruginosa,2004,4,0,0.0,204,YES
Pseudomonas aeruginosa,2005,0,150,72.82,206,YES
Pseudomonas aeruginosa,2005,1,10,4.85,206,YES
Pseudomonas aeruginosa,2005,2,19,9.22,206,YES
Pseudomonas aeruginosa,2005,3,27,13.11,206,YES
Pseudomonas aeruginosa,2005,4,0,0.0,206,YES
Pseudomonas aeruginosa,2006,0,202,75.94,266,YES
Pseudomonas aeruginosa,2006,1,10,3.76,266,YES
Pseudomonas aeruginosa,2006,2,18,6.77,266,YES
Pseudomonas aeruginosa,2006,3,36,13.53,266,YES
Pseudomonas aeruginosa,2006,4,0,0.0,266,YES
Pseudomonas aeruginosa,2007,0,291,72.39,402,YES
Pseudomonas aeruginosa,2007,1,26,6.47,402,YES
Pseudomonas aeruginosa,2007,2,29,7.21,402,YES
Pseudomonas aeruginosa,2007,3,56,13.93,402,YES
Pseudomonas aeruginosa,2007,4,0,0.0,402,YES
Pseudomonas aeruginosa,2008,0,262,66.84,392,YES
Pseudomonas aeruginosa,2008,1,34,8.67,392,YES
Pseudomonas aeruginosa,2008,2,25,6.38,392,YES
Pseudomonas aeruginosa,2008,3,71,18.11,392,YES
Pseudomonas aeruginosa,2008,4,0,0.0,392,YES
Pseudomonas aeruginosa,2009,0,299,63.48,471,YES
Pseudomonas aeruginosa,2009,1,33,7.01,471,YES
Pseudomonas aeruginosa,2009,2,42,8.92,471,YES
Pseudomonas aeruginosa,2009,3,97,20.59,471,YES
Pseudomonas aeruginosa,2009,4,0,0.0,471,YES
Pseudomonas aeruginosa,2010,0,201,66.56,302,YES
Pseudomonas aeruginosa,2010,1,30,9.93,302,YES
Pseudomonas aeruginosa,2010,2,26,8.61,302,YES
Pseudomonas aeruginosa,2010,3,45,14.9,302,YES
Pseudomonas aeruginosa,2010,4,0,0.0,302,YES
Pseudomonas aeruginosa,2011,0,211,79.92,264,YES
Pseudomonas aeruginosa,2011,1,10,3.79,264,YES
Pseudomonas aeruginosa,2011,2,13,4.92,264,YES
Pseudomonas aeruginosa,2011,3,30,11.36,264,YES
Pseudomonas aeruginosa,2011,4,0,0.0,264,YES
Pseudomonas aeruginosa,2012,0,161,78.16,206,YES
Pseudomonas aeruginosa,2012,1,12,5.83,206,YES
Pseudomonas aeruginosa,2012,2,7,3.4,206,YES
Pseudomonas aeruginosa,2012,3,26,12.62,206,YES
Pseudomonas aeruginosa,2012,4,0,0.0,206,YES
Pseudomonas aeruginosa,2013,0,193,80.42,240,YES
Pseudomonas aeruginosa,2013,1,11,4.58,240,YES
Pseudomonas aeruginosa,2013,2,6,2.5,240,YES
Pseudomonas aeruginosa,2013,3,30,12.5,240,YES
Pseudomonas aeruginosa,2013,4,0,0.0,240,YES
Pseudomonas aeruginosa,2014,0,279,81.82,341,YES
Pseudomonas aeruginosa,2014,1,14,4.11,341,YES
Pseudomonas aeruginosa,2014,2,12,3.52,341,YES
Pseudomonas aeruginosa,2014,3,23,6.74,341,YES
Pseudomonas aeruginosa,2014,4,13,3.81,341,YES
Pseudomonas aeruginosa,2015,0,317,77.32,410,YES
Pseudomonas aeruginosa,2015,1,19,4.63,410,YES
Pseudomonas aeruginosa,2015,2,5,1.22,410,YES
Pseudomonas aeruginosa,2015,3,46,11.22,410,YES
Pseudomonas aeruginosa,2015,4,23,5.61,410,YES
Pseudomonas aeruginosa,2016,0,297,77.95,381,YES
Pseudomonas aeruginosa,2016,1,26,6.82,381,YES
Pseudomonas aeruginosa,2016,2,9,2.36,381,YES
Pseudomonas aeruginosa,2016,3,28,7.35,381,YES
Pseudomonas aeruginosa,2016,4,21,5.51,381,YES
Pseudomonas aeruginosa,2017,0,280,78.65,356,YES
Pseudomonas aeruginosa,2017,1,17,4.78,356,YES
Pseudomonas aeruginosa,2017,2,6,1.69,356,YES
Pseudomonas aeruginosa,2017,3,25,7.02,356,YES
Pseudomonas aeruginosa,2017,4,28,7.87,356,YES
Pseudomonas aeruginosa,2018,0,370,77.73,476,YES
Pseudomonas aeruginosa,2018,1,18,3.78,476,YES
Pseudomonas aeruginosa,2018,2,6,1.26,476,YES
Pseudomonas aeruginosa,2018,3,0,0.0,476,YES
Pseudomonas aeruginosa,2018,4,82,17.23,476,YES
Pseudomonas aeruginosa,2019,0,573,76.91,745,YES
Pseudomonas aeruginosa,2019,1,34,4.56,745,YES
Pseudomonas aeruginosa,2019,2,23,3.09,745,YES
Pseudomonas aeruginosa,2019,3,0,0.0,745,YES
Pseudomonas aeruginosa,2019,4,115,15.44,745,YES
Pseudomonas aeruginosa,2020,0,668,79.24,843,YES
