Organism,Year,Antibiotic,Antibiotic_Class,Resistant,Susceptible,Intermediate,Total_Tested,Resistance_Rate_%,Sufficient_Data
Klebsiella pneumoniae,2006,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2006,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2006,Piperacillin tazobactam,Penicillins,114,374,10,498,22.89,YES
Klebsiella pneumoniae,2006,Tigecycline,Tetracyclines,1,475,22,498,0.2,YES
Klebsiella pneumoniae,2006,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2006,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2007,Ceftriaxone,Cephalosporins,193,537,10,740,26.08,YES
Klebsiella pneumoniae,2007,Meropenem,Carbapenems,25,686,12,723,3.46,YES
Klebsiella pneumoniae,2007,Levofloxacin,Fluoroquinolones,148,560,32,740,20.0,YES
Klebsiella pneumoniae,2007,Amikacin,Aminoglycosides,81,626,33,740,10.95,YES
Klebsiella pneumoniae,2007,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2007,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2007,Piperacillin tazobactam,Penicillins,124,587,29,740,16.76,YES
Klebsiella pneumoniae,2007,Tigecycline,Tetracyclines,4,711,25,740,0.54,YES
Klebsiella pneumoniae,2007,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2007,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2008,Ceftriaxone,Cephalosporins,221,424,5,650,34.0,YES
Klebsiella pneumoniae,2008,Meropenem,Carbapenems,34,606,10,650,5.23,YES
Klebsiella pneumoniae,2008,Levofloxacin,Fluoroquinolones,173,458,19,650,26.62,YES
Klebsiella pneumoniae,2008,Amikacin,Aminoglycosides,90,526,34,650,13.85,YES
Klebsiella pneumoniae,2008,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2008,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2008,Piperacillin tazobactam,Penicillins,183,443,24,650,28.15,YES
Klebsiella pneumoniae,2008,Tigecycline,Tetracyclines,2,629,19,650,0.31,YES
Klebsiella pneumoniae,2008,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2008,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2009,Ceftriaxone,Cephalosporins,248,495,8,751,33.02,YES
Klebsiella pneumoniae,2009,Meropenem,Carbapenems,46,697,8,751,6.13,YES
Klebsiella pneumoniae,2009,Levofloxacin,Fluoroquinolones,191,515,45,751,25.43,YES
Klebsiella pneumoniae,2009,Amikacin,Aminoglycosides,93,614,44,751,12.38,YES
Klebsiella pneumoniae,2009,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2009,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2009,Piperacillin tazobactam,Penicillins,190,530,31,751,25.3,YES
Klebsiella pneumoniae,2009,Tigecycline,Tetracyclines,13,711,27,751,1.73,YES
Klebsiella pneumoniae,2009,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2009,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2010,Ceftriaxone,Cephalosporins,182,388,2,572,31.82,YES
Klebsiella pneumoniae,2010,Meropenem,Carbapenems,26,539,7,572,4.55,YES
Klebsiella pneumoniae,2010,Levofloxacin,Fluoroquinolones,144,391,37,572,25.17,YES
Klebsiella pneumoniae,2010,Amikacin,Aminoglycosides,52,495,25,572,9.09,YES
Klebsiella pneumoniae,2010,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2010,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2010,Piperacillin tazobactam,Penicillins,142,394,36,572,24.83,YES
Klebsiella pneumoniae,2010,Tigecycline,Tetracyclines,4,547,21,572,0.7,YES
Klebsiella pneumoniae,2010,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2010,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2011,Ceftriaxone,Cephalosporins,94,302,2,398,23.62,YES
Klebsiella pneumoniae,2011,Meropenem,Carbapenems,18,378,2,398,4.52,YES
Klebsiella pneumoniae,2011,Levofloxacin,Fluoroquinolones,89,301,8,398,22.36,YES
Klebsiella pneumoniae,2011,Amikacin,Aminoglycosides,30,352,16,398,7.54,YES
Klebsiella pneumoniae,2011,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2011,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2011,Piperacillin tazobactam,Penicillins,69,307,22,398,17.34,YES
Klebsiella pneumoniae,2011,Tigecycline,Tetracyclines,3,382,13,398,0.75,YES
Klebsiella pneumoniae,2011,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2011,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2012,Ceftriaxone,Cephalosporins,111,280,1,392,28.32,YES
Klebsiella pneumoniae,2012,Meropenem,Carbapenems,25,366,1,392,6.38,YES
Klebsiella pneumoniae,2012,Levofloxacin,Fluoroquinolones,92,288,12,392,23.47,YES
Klebsiella pneumoniae,2012,Amikacin,Aminoglycosides,38,346,8,392,9.69,YES
Klebsiella pneumoniae,2012,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2012,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2012,Piperacillin tazobactam,Penicillins,62,323,7,392,15.82,YES
Klebsiella pneumoniae,2012,Tigecycline,Tetracyclines,3,381,8,392,0.77,YES
Klebsiella pneumoniae,2012,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2012,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2013,Ceftriaxone,Cephalosporins,93,313,5,411,22.63,YES
Klebsiella pneumoniae,2013,Meropenem,Carbapenems,22,386,3,411,5.35,YES
Klebsiella pneumoniae,2013,Levofloxacin,Fluoroquinolones,89,310,12,411,21.65,YES
Klebsiella pneumoniae,2013,Amikacin,Aminoglycosides,18,381,12,411,4.38,YES
Klebsiella pneumoniae,2013,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2013,Colistin,Polymyxins,0,0,0,0,,NO
Klebsiella pneumoniae,2013,Piperacillin tazobactam,Penicillins,66,332,13,411,16.06,YES
Klebsiella pneumoniae,2013,Tigecycline,Tetracyclines,2,391,18,411,0.49,YES
Klebsiella pneumoniae,2013,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2013,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2014,Ceftriaxone,Cephalosporins,134,300,5,439,30.52,YES
Klebsiella pneumoniae,2014,Meropenem,Carbapenems,57,625,10,692,8.24,YES
Klebsiella pneumoniae,2014,Levofloxacin,Fluoroquinolones,175,477,40,692,25.29,YES
Klebsiella pneumoniae,2014,Amikacin,Aminoglycosides,64,598,30,692,9.25,YES
Klebsiella pneumoniae,2014,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2014,Colistin,Polymyxins,10,0,243,253,3.95,YES
Klebsiella pneumoniae,2014,Piperacillin tazobactam,Penicillins,152,493,47,692,21.97,YES
Klebsiella pneumoniae,2014,Tigecycline,Tetracyclines,0,664,28,692,0.0,YES
Klebsiella pneumoniae,2014,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2014,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2015,Ceftriaxone,Cephalosporins,136,316,6,458,29.69,YES
Klebsiella pneumoniae,2015,Meropenem,Carbapenems,47,653,8,708,6.64,YES
Klebsiella pneumoniae,2015,Levofloxacin,Fluoroquinolones,174,492,42,708,24.58,YES
Klebsiella pneumoniae,2015,Amikacin,Aminoglycosides,33,651,24,708,4.66,YES
Klebsiella pneumoniae,2015,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2015,Colistin,Polymyxins,8,0,246,254,3.15,YES
Klebsiella pneumoniae,2015,Piperacillin tazobactam,Penicillins,141,535,32,708,19.92,YES
Klebsiella pneumoniae,2015,Tigecycline,Tetracyclines,9,670,29,708,1.27,YES
Klebsiella pneumoniae,2015,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2015,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2016,Ceftriaxone,Cephalosporins,277,464,3,744,37.23,YES
Klebsiella pneumoniae,2016,Meropenem,Carbapenems,60,678,6,744,8.06,YES
Klebsiella pneumoniae,2016,Levofloxacin,Fluoroquinolones,194,505,45,744,26.08,YES
Klebsiella pneumoniae,2016,Amikacin,Aminoglycosides,46,673,25,744,6.18,YES
Klebsiella pneumoniae,2016,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2016,Colistin,Polymyxins,10,0,300,310,3.23,YES
Klebsiella pneumoniae,2016,Piperacillin tazobactam,Penicillins,156,550,38,744,20.97,YES
Klebsiella pneumoniae,2016,Tigecycline,Tetracyclines,4,719,21,744,0.54,YES
Klebsiella pneumoniae,2016,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2016,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2017,Ceftriaxone,Cephalosporins,288,417,4,709,40.62,YES
Klebsiella pneumoniae,2017,Meropenem,Carbapenems,60,637,12,709,8.46,YES
Klebsiella pneumoniae,2017,Levofloxacin,Fluoroquinolones,194,477,38,709,27.36,YES
Klebsiella pneumoniae,2017,Amikacin,Aminoglycosides,44,635,30,709,6.21,YES
Klebsiella pneumoniae,2017,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2017,Colistin,Polymyxins,11,0,337,348,3.16,YES
Klebsiella pneumoniae,2017,Piperacillin tazobactam,Penicillins,182,488,39,709,25.67,YES
Klebsiella pneumoniae,2017,Tigecycline,Tetracyclines,2,684,23,709,0.28,YES
Klebsiella pneumoniae,2017,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Klebsiella pneumoniae,2017,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2018,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2018,Meropenem,Carbapenems,97,636,9,742,13.07,YES
Klebsiella pneumoniae,2018,Levofloxacin,Fluoroquinolones,258,416,68,742,34.77,YES
Klebsiella pneumoniae,2018,Amikacin,Aminoglycosides,75,633,34,742,10.11,YES
Klebsiella pneumoniae,2018,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2018,Colistin,Polymyxins,34,0,708,742,4.58,YES
Klebsiella pneumoniae,2018,Piperacillin tazobactam,Penicillins,217,438,87,742,29.25,YES
Klebsiella pneumoniae,2018,Tigecycline,Tetracyclines,1,729,12,742,0.13,YES
Klebsiella pneumoniae,2018,Trimethoprim sulfa,Trimethoprim,373,368,0,741,50.34,YES
Klebsiella pneumoniae,2018,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2019,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2019,Meropenem,Carbapenems,174,916,16,1106,15.73,YES
Klebsiella pneumoniae,2019,Levofloxacin,Fluoroquinolones,371,642,93,1106,33.54,YES
Klebsiella pneumoniae,2019,Amikacin,Aminoglycosides,136,918,52,1106,12.3,YES
Klebsiella pneumoniae,2019,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2019,Colistin,Polymyxins,36,0,1070,1106,3.25,YES
Klebsiella pneumoniae,2019,Piperacillin tazobactam,Penicillins,361,648,97,1106,32.64,YES
Klebsiella pneumoniae,2019,Tigecycline,Tetracyclines,5,1080,21,1106,0.45,YES
Klebsiella pneumoniae,2019,Trimethoprim sulfa,Trimethoprim,484,622,0,1106,43.76,YES
Klebsiella pneumoniae,2019,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2020,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2020,Meropenem,Carbapenems,183,976,12,1171,15.63,YES
Klebsiella pneumoniae,2020,Levofloxacin,Fluoroquinolones,369,684,118,1171,31.51,YES
Klebsiella pneumoniae,2020,Amikacin,Aminoglycosides,152,979,40,1171,12.98,YES
Klebsiella pneumoniae,2020,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2020,Colistin,Polymyxins,37,0,1134,1171,3.16,YES
Klebsiella pneumoniae,2020,Piperacillin tazobactam,Penicillins,343,751,77,1171,29.29,YES
Klebsiella pneumoniae,2020,Tigecycline,Tetracyclines,3,1133,35,1171,0.26,YES
Klebsiella pneumoniae,2020,Trimethoprim sulfa,Trimethoprim,523,648,0,1171,44.66,YES
Klebsiella pneumoniae,2020,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2021,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2021,Meropenem,Carbapenems,218,1016,14,1248,17.47,YES
Klebsiella pneumoniae,2021,Levofloxacin,Fluoroquinolones,435,699,114,1248,34.86,YES
Klebsiella pneumoniae,2021,Amikacin,Aminoglycosides,182,1011,55,1248,14.58,YES
Klebsiella pneumoniae,2021,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2021,Colistin,Polymyxins,48,0,1200,1248,3.85,YES
Klebsiella pneumoniae,2021,Piperacillin tazobactam,Penicillins,393,763,92,1248,31.49,YES
Klebsiella pneumoniae,2021,Tigecycline,Tetracyclines,2,1215,31,1248,0.16,YES
Klebsiella pneumoniae,2021,Trimethoprim sulfa,Trimethoprim,596,652,0,1248,47.76,YES
Klebsiella pneumoniae,2021,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2022,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2022,Meropenem,Carbapenems,181,957,15,1153,15.7,YES
Klebsiella pneumoniae,2022,Levofloxacin,Fluoroquinolones,331,719,103,1153,28.71,YES
Klebsiella pneumoniae,2022,Amikacin,Aminoglycosides,113,1006,34,1153,9.8,YES
Klebsiella pneumoniae,2022,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2022,Colistin,Polymyxins,41,0,1112,1153,3.56,YES
Klebsiella pneumoniae,2022,Piperacillin tazobactam,Penicillins,350,745,58,1153,30.36,YES
Klebsiella pneumoniae,2022,Tigecycline,Tetracyclines,7,1119,27,1153,0.61,YES
Klebsiella pneumoniae,2022,Trimethoprim sulfa,Trimethoprim,452,701,0,1153,39.2,YES
Klebsiella pneumoniae,2022,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2023,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2023,Meropenem,Carbapenems,183,793,11,987,18.54,YES
Klebsiella pneumoniae,2023,Levofloxacin,Fluoroquinolones,320,588,79,987,32.42,YES
Klebsiella pneumoniae,2023,Amikacin,Aminoglycosides,124,842,21,987,12.56,YES
Klebsiella pneumoniae,2023,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2023,Colistin,Polymyxins,59,0,928,987,5.98,YES
Klebsiella pneumoniae,2023,Piperacillin tazobactam,Penicillins,289,634,64,987,29.28,YES
Klebsiella pneumoniae,2023,Tigecycline,Tetracyclines,7,955,25,987,0.71,YES
Klebsiella pneumoniae,2023,Trimethoprim sulfa,Trimethoprim,439,548,0,987,44.48,YES
Klebsiella pneumoniae,2023,Linezolid,Oxazolidinones,0,0,0,0,,NO
Klebsiella pneumoniae,2024,Ceftriaxone,Cephalosporins,0,0,0,0,,NO
Klebsiella pneumoniae,2024,Meropenem,Carbapenems,219,944,17,1180,18.56,YES
Klebsiella pneumoniae,2024,Levofloxacin,Fluoroquinolones,347,710,123,1180,29.41,YES
Klebsiella pneumoniae,2024,Amikacin,Aminoglycosides,151,1000,29,1180,12.8,YES
Klebsiella pneumoniae,2024,Vancomycin,Glycopeptides,0,0,0,0,,NO
Klebsiella pneumoniae,2024,Colistin,Polymyxins,50,0,1130,1180,4.24,YES
Klebsiella pneumoniae,2024,Piperacillin tazobactam,Penicillins,359,769,52,1180,30.42,YES
Klebsiella pneumoniae,2024,Tigecycline,Tetracyclines,2,1163,15,1180,0.17,YES
Klebsiella pneumoniae,2024,Trimethoprim sulfa,Trimethoprim,519,661,0,1180,43.98,YES
Klebsiella pneumoniae,2024,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2004,Ceftriaxone,Cephalosporins,67,39,36,142,47.18,YES
Acinetobacter baumannii,2004,Meropenem,Carbapenems,0,2,0,2,,NO
Acinetobacter baumannii,2004,Levofloxacin,Fluoroquinolones,61,70,11,142,42.96,YES
Acinetobacter baumannii,2004,Amikacin,Aminoglycosides,27,105,10,142,19.01,YES
Acinetobacter baumannii,2004,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2004,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2004,Piperacillin tazobactam,Penicillins,50,79,13,142,35.21,YES
Acinetobacter baumannii,2004,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2004,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2004,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2005,Ceftriaxone,Cephalosporins,57,40,37,134,42.54,YES
Acinetobacter baumannii,2005,Meropenem,Carbapenems,2,1,0,3,,NO
Acinetobacter baumannii,2005,Levofloxacin,Fluoroquinolones,52,70,12,134,38.81,YES
Acinetobacter baumannii,2005,Amikacin,Aminoglycosides,27,99,8,134,20.15,YES
Acinetobacter baumannii,2005,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2005,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2005,Piperacillin tazobactam,Penicillins,45,75,14,134,33.58,YES
Acinetobacter baumannii,2005,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2005,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2005,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2006,Ceftriaxone,Cephalosporins,100,51,39,190,52.63,YES
Acinetobacter baumannii,2006,Meropenem,Carbapenems,32,34,6,72,44.44,YES
Acinetobacter baumannii,2006,Levofloxacin,Fluoroquinolones,76,87,27,190,40.0,YES
Acinetobacter baumannii,2006,Amikacin,Aminoglycosides,54,122,14,190,28.42,YES
Acinetobacter baumannii,2006,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2006,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2006,Piperacillin tazobactam,Penicillins,78,92,20,190,41.05,YES
Acinetobacter baumannii,2006,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2006,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2006,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2007,Ceftriaxone,Cephalosporins,127,50,55,232,54.74,YES
Acinetobacter baumannii,2007,Meropenem,Carbapenems,76,134,13,223,34.08,YES
Acinetobacter baumannii,2007,Levofloxacin,Fluoroquinolones,90,109,33,232,38.79,YES
Acinetobacter baumannii,2007,Amikacin,Aminoglycosides,79,141,12,232,34.05,YES
Acinetobacter baumannii,2007,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2007,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2007,Piperacillin tazobactam,Penicillins,97,110,25,232,41.81,YES
Acinetobacter baumannii,2007,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2007,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2007,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2008,Ceftriaxone,Cephalosporins,157,51,45,253,62.06,YES
Acinetobacter baumannii,2008,Meropenem,Carbapenems,133,112,8,253,52.57,YES
Acinetobacter baumannii,2008,Levofloxacin,Fluoroquinolones,128,98,27,253,50.59,YES
Acinetobacter baumannii,2008,Amikacin,Aminoglycosides,113,120,20,253,44.66,YES
Acinetobacter baumannii,2008,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2008,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2008,Piperacillin tazobactam,Penicillins,155,84,14,253,61.26,YES
Acinetobacter baumannii,2008,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2008,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2008,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2009,Ceftriaxone,Cephalosporins,147,43,53,243,60.49,YES
Acinetobacter baumannii,2009,Meropenem,Carbapenems,119,113,11,243,48.97,YES
Acinetobacter baumannii,2009,Levofloxacin,Fluoroquinolones,124,101,18,243,51.03,YES
Acinetobacter baumannii,2009,Amikacin,Aminoglycosides,110,117,16,243,45.27,YES
Acinetobacter baumannii,2009,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2009,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2009,Piperacillin tazobactam,Penicillins,142,90,11,243,58.44,YES
Acinetobacter baumannii,2009,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2009,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2009,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2010,Ceftriaxone,Cephalosporins,125,34,43,202,61.88,YES
Acinetobacter baumannii,2010,Meropenem,Carbapenems,98,96,8,202,48.51,YES
Acinetobacter baumannii,2010,Levofloxacin,Fluoroquinolones,111,72,19,202,54.95,YES
Acinetobacter baumannii,2010,Amikacin,Aminoglycosides,86,104,12,202,42.57,YES
Acinetobacter baumannii,2010,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2010,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2010,Piperacillin tazobactam,Penicillins,120,63,19,202,59.41,YES
Acinetobacter baumannii,2010,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2010,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2010,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2011,Ceftriaxone,Cephalosporins,52,36,25,113,46.02,YES
Acinetobacter baumannii,2011,Meropenem,Carbapenems,48,62,3,113,42.48,YES
Acinetobacter baumannii,2011,Levofloxacin,Fluoroquinolones,39,63,11,113,34.51,YES
Acinetobacter baumannii,2011,Amikacin,Aminoglycosides,31,76,6,113,27.43,YES
Acinetobacter baumannii,2011,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2011,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2011,Piperacillin tazobactam,Penicillins,53,57,3,113,46.9,YES
Acinetobacter baumannii,2011,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2011,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2011,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2012,Ceftriaxone,Cephalosporins,48,12,13,73,65.75,YES
Acinetobacter baumannii,2012,Meropenem,Carbapenems,42,28,3,73,57.53,YES
Acinetobacter baumannii,2012,Levofloxacin,Fluoroquinolones,42,23,8,73,57.53,YES
Acinetobacter baumannii,2012,Amikacin,Aminoglycosides,27,40,6,73,36.99,YES
Acinetobacter baumannii,2012,Vancomycin,Glycopeptides,0,0,0,0,,NO
Acinetobacter baumannii,2012,Colistin,Polymyxins,0,0,0,0,,NO
Acinetobacter baumannii,2012,Piperacillin tazobactam,Penicillins,48,23,2,73,65.75,YES
Acinetobacter baumannii,2012,Tigecycline,Tetracyclines,0,0,0,0,,NO
Acinetobacter baumannii,2012,Trimethoprim sulfa,Trimethoprim,0,0,0,0,,NO
Acinetobacter baumannii,2012,Linezolid,Oxazolidinones,0,0,0,0,,NO
Acinetobacter baumannii,2013,Ceftriaxone,Cephalosporins,58,14,10,82,70.73,YES
Acinetobacter baumannii,2013,Meropenem,Carbapenems,57,24,1,82,69.51,YES
Acinetobacter baumannii,2013,Levofloxacin,Fluoroquinolones,58,19,5,82,70.73,YES
Acinetobacter baumannii,2013,Amikacin,Aminoglycosides,48,33,1,82,58.54,YES
Acinetobacter baumannii,2013,Vancomycin,Glycopeptides,0,0,0,0,,NO
