Organism,Country,Year,Total_N,MDR_Count,MDR_Rate_%,Sufficient
Acinetobacter baumannii,Colombia,2005,1,0,,False
Acinetobacter baumannii,Colombia,2007,2,2,,False
Acinetobacter baumannii,Colombia,2008,11,4,36.36,True
Acinetobacter baumannii,Colombia,2009,9,3,,False
Acinetobacter baumannii,Colombia,2010,3,3,,False
Acinetobacter baumannii,Colombia,2015,1,1,,False
Acinetobacter baumannii,Colombia,2018,10,4,40.0,True
Acinetobacter baumannii,Colombia,2019,10,3,30.0,True
Acinetobacter baumannii,Colombia,2020,14,0,0.0,True
Acinetobacter baumannii,Colombia,2021,9,4,,False
Acinetobacter baumannii,Colombia,2022,2,0,,False
Acinetobacter baumannii,Colombia,2024,4,1,,False
Acinetobacter baumannii,Costa Rica,2021,1,0,,False
Acinetobacter baumannii,Costa Rica,2023,1,0,,False
Acinetobacter baumannii,Croatia,2006,1,1,,False
Acinetobacter baumannii,Croatia,2007,11,11,100.0,True
Acinetobacter baumannii,Croatia,2008,11,10,90.91,True
Acinetobacter baumannii,Croatia,2009,9,9,,False
Acinetobacter baumannii,Croatia,2010,10,10,100.0,True
Acinetobacter baumannii,Croatia,2014,2,2,,False
Acinetobacter baumannii,Croatia,2015,3,3,,False
Acinetobacter baumannii,Croatia,2016,8,8,,False
Acinetobacter baumannii,Croatia,2017,2,2,,False
Acinetobacter baumannii,Croatia,2018,1,1,,False
Acinetobacter baumannii,Croatia,2019,21,20,95.24,True
Acinetobacter baumannii,Croatia,2020,13,13,100.0,True
Acinetobacter baumannii,Croatia,2021,5,5,,False
Acinetobacter baumannii,Croatia,2022,38,38,100.0,True
Acinetobacter baumannii,Croatia,2023,19,19,100.0,True
Acinetobacter baumannii,Croatia,2024,15,15,100.0,True
Acinetobacter baumannii,Czech Republic,2006,1,1,,False
Acinetobacter baumannii,Czech Republic,2009,1,0,,False
Acinetobacter baumannii,Czech Republic,2010,1,0,,False
Acinetobacter baumannii,Czech Republic,2015,1,1,,False
Acinetobacter baumannii,Czech Republic,2017,1,0,,False
Acinetobacter baumannii,Czech Republic,2018,1,0,,False
Acinetobacter baumannii,Czech Republic,2019,1,0,,False
Acinetobacter baumannii,Czech Republic,2020,3,1,,False
Acinetobacter baumannii,Czech Republic,2021,3,1,,False
Acinetobacter baumannii,Czech Republic,2022,4,1,,False
Acinetobacter baumannii,Czech Republic,2023,2,1,,False
Acinetobacter baumannii,Czech Republic,2024,4,4,,False
Acinetobacter baumannii,Denmark,2005,2,0,,False
Acinetobacter baumannii,Denmark,2006,9,0,,False
Acinetobacter baumannii,Denmark,2007,3,0,,False
Acinetobacter baumannii,Denmark,2009,2,2,,False
Acinetobacter baumannii,Denmark,2010,7,2,,False
Acinetobacter baumannii,Denmark,2011,1,0,,False
Acinetobacter baumannii,Denmark,2013,2,0,,False
Acinetobacter baumannii,Denmark,2014,1,0,,False
Acinetobacter baumannii,Denmark,2015,1,1,,False
Acinetobacter baumannii,Denmark,2021,1,1,,False
Acinetobacter baumannii,Dominican Republic,2020,1,0,,False
Acinetobacter baumannii,France,2004,2,1,,False
Acinetobacter baumannii,France,2005,8,0,,False
Acinetobacter baumannii,France,2006,8,1,,False
Acinetobacter baumannii,France,2007,11,0,0.0,True
Acinetobacter baumannii,France,2008,14,2,14.29,True
Acinetobacter baumannii,France,2009,16,3,18.75,True
Acinetobacter baumannii,France,2010,20,8,40.0,True
Acinetobacter baumannii,France,2011,13,0,0.0,True
Acinetobacter baumannii,France,2012,6,2,,False
Acinetobacter baumannii,France,2013,2,0,,False
Acinetobacter baumannii,France,2014,13,4,30.77,True
Acinetobacter baumannii,France,2015,5,1,,False
Acinetobacter baumannii,France,2016,7,1,,False
Acinetobacter baumannii,France,2017,3,0,,False
Acinetobacter baumannii,France,2018,7,2,,False
Acinetobacter baumannii,France,2019,14,9,64.29,True
Acinetobacter baumannii,France,2020,8,6,,False
Acinetobacter baumannii,France,2021,10,3,30.0,True
Acinetobacter baumannii,France,2022,10,5,50.0,True
Acinetobacter baumannii,France,2023,6,1,,False
Acinetobacter baumannii,France,2024,8,3,,False
Acinetobacter baumannii,Germany,2004,2,0,,False
Acinetobacter baumannii,Germany,2006,4,0,,False
Acinetobacter baumannii,Germany,2007,3,0,,False
Acinetobacter baumannii,Germany,2008,2,0,,False
Acinetobacter baumannii,Germany,2009,16,3,18.75,True
Acinetobacter baumannii,Germany,2010,4,1,,False
Acinetobacter baumannii,Germany,2011,11,2,18.18,True
Acinetobacter baumannii,Germany,2012,2,2,,False
Acinetobacter baumannii,Germany,2013,4,2,,False
Acinetobacter baumannii,Germany,2014,2,1,,False
Acinetobacter baumannii,Germany,2015,1,0,,False
Acinetobacter baumannii,Germany,2016,1,0,,False
Acinetobacter baumannii,Germany,2018,1,0,,False
Acinetobacter baumannii,Germany,2020,4,3,,False
Acinetobacter baumannii,Germany,2023,3,0,,False
Acinetobacter baumannii,Greece,2004,2,2,,False
Acinetobacter baumannii,Greece,2005,1,1,,False
Acinetobacter baumannii,Greece,2006,12,11,91.67,True
Acinetobacter baumannii,Greece,2007,5,4,,False
Acinetobacter baumannii,Greece,2008,3,3,,False
Acinetobacter baumannii,Greece,2009,12,12,100.0,True
Acinetobacter baumannii,Greece,2010,9,9,,False
Acinetobacter baumannii,Greece,2014,14,14,100.0,True
Acinetobacter baumannii,Greece,2015,2,2,,False
Acinetobacter baumannii,Greece,2016,7,7,,False
Acinetobacter baumannii,Greece,2017,4,4,,False
Acinetobacter baumannii,Greece,2018,1,1,,False
Acinetobacter baumannii,Greece,2019,11,10,90.91,True
Acinetobacter baumannii,Greece,2020,14,14,100.0,True
Acinetobacter baumannii,Greece,2021,4,4,,False
Acinetobacter baumannii,Greece,2022,11,10,90.91,True
Acinetobacter baumannii,Greece,2023,2,2,,False
Acinetobacter baumannii,Greece,2024,9,9,,False
Acinetobacter baumannii,Guatemala,2006,4,4,,False
Acinetobacter baumannii,Guatemala,2007,4,3,,False
Acinetobacter baumannii,Guatemala,2008,1,1,,False
Acinetobacter baumannii,Guatemala,2010,1,1,,False
Acinetobacter baumannii,Guatemala,2018,3,3,,False
Acinetobacter baumannii,Guatemala,2019,3,2,,False
Acinetobacter baumannii,Guatemala,2020,4,3,,False
Acinetobacter baumannii,Guatemala,2022,9,8,,False
Acinetobacter baumannii,Guatemala,2023,2,2,,False
Acinetobacter baumannii,Honduras,2006,1,1,,False
Acinetobacter baumannii,Honduras,2009,1,1,,False
Acinetobacter baumannii,Hong Kong,2006,11,5,45.45,True
Acinetobacter baumannii,Hong Kong,2007,3,0,,False
Acinetobacter baumannii,Hong Kong,2014,2,0,,False
Acinetobacter baumannii,Hong Kong,2015,6,6,,False
Acinetobacter baumannii,Hong Kong,2016,7,5,,False
Acinetobacter baumannii,Hong Kong,2017,7,1,,False
Acinetobacter baumannii,Hong Kong,2018,2,2,,False
Acinetobacter baumannii,Hong Kong,2019,4,3,,False
Acinetobacter baumannii,Hungary,2004,1,0,,False
Acinetobacter baumannii,Hungary,2007,1,0,,False
Acinetobacter baumannii,Hungary,2008,3,1,,False
Acinetobacter baumannii,Hungary,2009,1,0,,False
Acinetobacter baumannii,Hungary,2010,1,1,,False
Acinetobacter baumannii,Hungary,2014,3,3,,False
Acinetobacter baumannii,Hungary,2015,1,1,,False
Acinetobacter baumannii,Hungary,2016,1,1,,False
Acinetobacter baumannii,Hungary,2018,3,2,,False
Acinetobacter baumannii,Hungary,2019,9,5,,False
Acinetobacter baumannii,Hungary,2020,15,14,93.33,True
Acinetobacter baumannii,Hungary,2021,8,6,,False
Acinetobacter baumannii,Hungary,2022,3,2,,False
Acinetobacter baumannii,Hungary,2023,5,4,,False
Acinetobacter baumannii,Hungary,2024,7,4,,False
Acinetobacter baumannii,India,2004,3,2,,False
Acinetobacter baumannii,India,2007,5,5,,False
Acinetobacter baumannii,India,2008,6,0,,False
Acinetobacter baumannii,India,2015,3,3,,False
Acinetobacter baumannii,India,2016,5,4,,False
Acinetobacter baumannii,India,2018,2,1,,False
Acinetobacter baumannii,India,2019,30,25,83.33,True
Acinetobacter baumannii,India,2020,27,23,85.19,True
Acinetobacter baumannii,India,2021,32,26,81.25,True
Acinetobacter baumannii,India,2022,13,12,92.31,True
Acinetobacter baumannii,India,2023,17,17,100.0,True
Acinetobacter baumannii,India,2024,22,20,90.91,True
Acinetobacter baumannii,Indonesia,2008,2,1,,False
Acinetobacter baumannii,Ireland,2004,2,0,,False
Acinetobacter baumannii,Ireland,2005,6,2,,False
Acinetobacter baumannii,Ireland,2006,1,0,,False
Acinetobacter baumannii,Ireland,2007,1,0,,False
Acinetobacter baumannii,Ireland,2010,1,0,,False
Acinetobacter baumannii,Ireland,2011,3,2,,False
Acinetobacter baumannii,Ireland,2014,2,2,,False
Acinetobacter baumannii,Ireland,2020,3,3,,False
Acinetobacter baumannii,Ireland,2022,2,2,,False
Acinetobacter baumannii,Israel,2005,2,1,,False
Acinetobacter baumannii,Israel,2006,3,1,,False
Acinetobacter baumannii,Israel,2007,6,5,,False
Acinetobacter baumannii,Israel,2008,13,10,76.92,True
Acinetobacter baumannii,Israel,2009,12,9,75.0,True
Acinetobacter baumannii,Israel,2010,21,18,85.71,True
Acinetobacter baumannii,Israel,2015,2,2,,False
Acinetobacter baumannii,Israel,2016,3,3,,False
Acinetobacter baumannii,Israel,2018,5,3,,False
Acinetobacter baumannii,Israel,2019,3,3,,False
Acinetobacter baumannii,Israel,2020,10,7,70.0,True
Acinetobacter baumannii,Israel,2021,6,5,,False
Acinetobacter baumannii,Israel,2022,8,6,,False
Acinetobacter baumannii,Israel,2023,7,5,,False
Acinetobacter baumannii,Israel,2024,1,1,,False
Acinetobacter baumannii,Italy,2004,8,4,,False
Acinetobacter baumannii,Italy,2005,6,4,,False
Acinetobacter baumannii,Italy,2006,11,8,72.73,True
Acinetobacter baumannii,Italy,2007,11,9,81.82,True
Acinetobacter baumannii,Italy,2008,14,9,64.29,True
Acinetobacter baumannii,Italy,2009,14,12,85.71,True
Acinetobacter baumannii,Italy,2010,9,4,,False
Acinetobacter baumannii,Italy,2011,9,6,,False
Acinetobacter baumannii,Italy,2012,12,10,83.33,True
Acinetobacter baumannii,Italy,2013,35,31,88.57,True
Acinetobacter baumannii,Italy,2014,38,37,97.37,True
Acinetobacter baumannii,Italy,2015,20,16,80.0,True
Acinetobacter baumannii,Italy,2016,11,10,90.91,True
Acinetobacter baumannii,Italy,2017,9,9,,False
Acinetobacter baumannii,Italy,2018,10,8,80.0,True
Acinetobacter baumannii,Italy,2019,26,26,100.0,True
Acinetobacter baumannii,Italy,2020,19,18,94.74,True
Acinetobacter baumannii,Italy,2021,20,19,95.0,True
Acinetobacter baumannii,Italy,2022,29,25,86.21,True
Acinetobacter baumannii,Italy,2023,30,21,70.0,True
Acinetobacter baumannii,Italy,2024,9,9,,False
Acinetobacter baumannii,Ivory Coast,2020,1,0,,False
Acinetobacter baumannii,Ivory Coast,2021,3,0,,False
Acinetobacter baumannii,Ivory Coast,2022,1,0,,False
Acinetobacter baumannii,Ivory Coast,2023,1,1,,False
Acinetobacter baumannii,Ivory Coast,2024,2,0,,False
Acinetobacter baumannii,Jamaica,2006,1,0,,False
Acinetobacter baumannii,Japan,2016,3,0,,False
Acinetobacter baumannii,Japan,2017,1,0,,False
Acinetobacter baumannii,Japan,2018,3,0,,False
Acinetobacter baumannii,Japan,2019,3,0,,False
Acinetobacter baumannii,Japan,2020,1,0,,False
Acinetobacter baumannii,Japan,2021,4,0,,False
Acinetobacter baumannii,Japan,2023,3,0,,False
Acinetobacter baumannii,Jordan,2010,4,3,,False
Acinetobacter baumannii,Jordan,2012,3,3,,False
Acinetobacter baumannii,Jordan,2013,2,2,,False
Acinetobacter baumannii,Jordan,2015,3,3,,False
Acinetobacter baumannii,Jordan,2017,5,5,,False
Acinetobacter baumannii,Jordan,2018,2,1,,False
Acinetobacter baumannii,Jordan,2021,4,4,,False
Acinetobacter baumannii,Jordan,2022,3,3,,False
Acinetobacter baumannii,Jordan,2023,4,4,,False
Acinetobacter baumannii,Jordan,2024,1,1,,False
Acinetobacter baumannii,Kenya,2021,1,1,,False
Acinetobacter baumannii,Kenya,2022,1,0,,False
Acinetobacter baumannii,"Korea, South",2005,2,1,,False
Acinetobacter baumannii,"Korea, South",2006,9,6,,False
Acinetobacter baumannii,"Korea, South",2007,8,5,,False
Acinetobacter baumannii,"Korea, South",2008,11,9,81.82,True
Acinetobacter baumannii,"Korea, South",2009,6,4,,False
Acinetobacter baumannii,"Korea, South",2010,3,3,,False
Acinetobacter baumannii,"Korea, South",2014,1,1,,False
Acinetobacter baumannii,"Korea, South",2016,1,1,,False
Acinetobacter baumannii,"Korea, South",2018,1,1,,False
Acinetobacter baumannii,"Korea, South",2019,4,4,,False
Acinetobacter baumannii,"Korea, South",2020,8,7,,False
Acinetobacter baumannii,"Korea, South",2021,10,9,90.0,True
Acinetobacter baumannii,"Korea, South",2022,2,2,,False
Acinetobacter baumannii,"Korea, South",2023,1,1,,False
Acinetobacter baumannii,"Korea, South",2024,3,3,,False
Acinetobacter baumannii,Kuwait,2012,3,2,,False
Acinetobacter baumannii,Kuwait,2013,1,1,,False
Acinetobacter baumannii,Kuwait,2014,4,1,,False
Acinetobacter baumannii,Kuwait,2015,1,0,,False
Acinetobacter baumannii,Kuwait,2016,2,0,,False
Acinetobacter baumannii,Kuwait,2018,8,4,,False
Acinetobacter baumannii,Kuwait,2019,13,9,69.23,True
Acinetobacter baumannii,Kuwait,2020,10,4,40.0,True
Acinetobacter baumannii,Kuwait,2021,9,7,,False
Acinetobacter baumannii,Kuwait,2022,8,7,,False
Acinetobacter baumannii,Kuwait,2023,3,3,,False
Acinetobacter baumannii,Kuwait,2024,1,0,,False
Acinetobacter baumannii,Latvia,2008,1,0,,False
Acinetobacter baumannii,Latvia,2009,2,2,,False
Acinetobacter baumannii,Latvia,2010,2,2,,False
Acinetobacter baumannii,Latvia,2017,2,2,,False
Acinetobacter baumannii,Latvia,2018,1,1,,False
Acinetobacter baumannii,Latvia,2020,1,1,,False
Acinetobacter baumannii,Latvia,2021,3,3,,False
Acinetobacter baumannii,Lithuania,2008,2,2,,False
Acinetobacter baumannii,Lithuania,2010,4,2,,False
Acinetobacter baumannii,Lithuania,2016,2,1,,False
Acinetobacter baumannii,Lithuania,2017,1,1,,False
Acinetobacter baumannii,Lithuania,2018,5,5,,False
Acinetobacter baumannii,Lithuania,2019,8,8,,False
Acinetobacter baumannii,Lithuania,2020,8,8,,False
Acinetobacter baumannii,Lithuania,2021,24,24,100.0,True
Acinetobacter baumannii,Lithuania,2022,9,9,,False
Acinetobacter baumannii,Lithuania,2023,3,3,,False
Acinetobacter baumannii,Lithuania,2024,9,9,,False
Acinetobacter baumannii,Malawi,2021,5,5,,False
Acinetobacter baumannii,Malawi,2022,5,5,,False
Acinetobacter baumannii,Malawi,2023,5,5,,False
Acinetobacter baumannii,Malaysia,2008,1,0,,False
Acinetobacter baumannii,Malaysia,2009,1,0,,False
Acinetobacter baumannii,Malaysia,2014,4,3,,False
Acinetobacter baumannii,Malaysia,2015,2,1,,False
Acinetobacter baumannii,Malaysia,2016,1,0,,False
Acinetobacter baumannii,Malaysia,2018,1,1,,False
Acinetobacter baumannii,Malaysia,2019,5,5,,False
Acinetobacter baumannii,Malaysia,2020,8,5,,False
Acinetobacter baumannii,Malaysia,2021,6,6,,False
Acinetobacter baumannii,Malaysia,2022,5,1,,False
Acinetobacter baumannii,Malaysia,2023,4,3,,False
Acinetobacter baumannii,Malaysia,2024,7,5,,False
Acinetobacter baumannii,Mauritius,2009,1,0,,False
Acinetobacter baumannii,Mexico,2005,1,1,,False
Acinetobacter baumannii,Mexico,2006,2,2,,False
Acinetobacter baumannii,Mexico,2007,3,1,,False
Acinetobacter baumannii,Mexico,2008,18,9,50.0,True
Acinetobacter baumannii,Mexico,2009,15,8,53.33,True
Acinetobacter baumannii,Mexico,2010,11,5,45.45,True
Acinetobacter baumannii,Mexico,2012,2,2,,False
Acinetobacter baumannii,Mexico,2014,1,1,,False
Acinetobacter baumannii,Mexico,2015,1,1,,False
Acinetobacter baumannii,Mexico,2016,4,3,,False
Acinetobacter baumannii,Mexico,2017,3,3,,False
Acinetobacter baumannii,Mexico,2018,3,3,,False
Acinetobacter baumannii,Mexico,2019,8,8,,False
Acinetobacter baumannii,Mexico,2020,13,11,84.62,True
Acinetobacter baumannii,Mexico,2021,7,6,,False
Acinetobacter baumannii,Mexico,2022,2,2,,False
Acinetobacter baumannii,Mexico,2023,3,2,,False
Acinetobacter baumannii,Mexico,2024,3,3,,False
Acinetobacter baumannii,Morocco,2011,2,1,,False
Acinetobacter baumannii,Morocco,2012,4,4,,False
Acinetobacter baumannii,Morocco,2014,1,0,,False
Acinetobacter baumannii,Morocco,2015,3,1,,False
Acinetobacter baumannii,Morocco,2018,7,7,,False
Acinetobacter baumannii,Morocco,2019,15,14,93.33,True
Acinetobacter baumannii,Morocco,2020,8,5,,False
Acinetobacter baumannii,Morocco,2021,7,7,,False
Acinetobacter baumannii,Morocco,2022,3,3,,False
Acinetobacter baumannii,Morocco,2023,6,6,,False
Acinetobacter baumannii,Morocco,2024,6,6,,False
Acinetobacter baumannii,Netherlands,2006,1,0,,False
Acinetobacter baumannii,Netherlands,2007,1,0,,False
Acinetobacter baumannii,Netherlands,2008,1,0,,False
Acinetobacter baumannii,Netherlands,2015,1,0,,False
Acinetobacter baumannii,New Zealand,2020,2,0,,False
Acinetobacter baumannii,New Zealand,2022,1,0,,False
Acinetobacter baumannii,Nicaragua,2006,1,1,,False
Acinetobacter baumannii,Nigeria,2018,1,1,,False
Acinetobacter baumannii,Nigeria,2019,3,2,,False
Acinetobacter baumannii,Nigeria,2020,3,3,,False
Acinetobacter baumannii,Nigeria,2021,5,1,,False
Acinetobacter baumannii,Nigeria,2022,1,0,,False
Acinetobacter baumannii,Nigeria,2024,4,3,,False
Acinetobacter baumannii,Oman,2007,1,0,,False
Acinetobacter baumannii,Pakistan,2004,1,1,,False
Acinetobacter baumannii,Pakistan,2005,3,2,,False
Acinetobacter baumannii,Pakistan,2006,2,2,,False
Acinetobacter baumannii,Pakistan,2016,1,0,,False
Acinetobacter baumannii,Pakistan,2017,3,3,,False
Acinetobacter baumannii,Panama,2007,1,1,,False
Acinetobacter baumannii,Panama,2012,1,1,,False
Acinetobacter baumannii,Panama,2013,1,1,,False
Acinetobacter baumannii,Panama,2017,1,1,,False
Acinetobacter baumannii,Panama,2018,1,1,,False
Acinetobacter baumannii,Panama,2019,3,3,,False
Acinetobacter baumannii,Panama,2020,5,3,,False
Acinetobacter baumannii,Panama,2022,9,2,,False
Acinetobacter baumannii,Panama,2023,8,5,,False
Acinetobacter baumannii,Panama,2024,9,5,,False
Acinetobacter baumannii,Philippines,2004,3,0,,False
Acinetobacter baumannii,Philippines,2006,1,1,,False
Acinetobacter baumannii,Philippines,2007,9,4,,False
Acinetobacter baumannii,Philippines,2008,1,0,,False
Acinetobacter baumannii,Philippines,2015,1,1,,False
Acinetobacter baumannii,Philippines,2016,1,0,,False
Acinetobacter baumannii,Philippines,2017,1,1,,False
Acinetobacter baumannii,Philippines,2018,2,2,,False
Acinetobacter baumannii,Philippines,2019,1,0,,False
Acinetobacter baumannii,Philippines,2020,1,1,,False
Acinetobacter baumannii,Philippines,2021,1,0,,False
Acinetobacter baumannii,Philippines,2023,4,2,,False
Acinetobacter baumannii,Philippines,2024,2,2,,False
Acinetobacter baumannii,Poland,2004,5,4,,False
Acinetobacter baumannii,Poland,2008,1,1,,False
Acinetobacter baumannii,Poland,2009,9,8,,False
Acinetobacter baumannii,Poland,2010,4,4,,False
Acinetobacter baumannii,Poland,2013,2,2,,False
Acinetobacter baumannii,Poland,2014,1,1,,False
Acinetobacter baumannii,Poland,2015,1,1,,False
Acinetobacter baumannii,Poland,2016,1,1,,False
Acinetobacter baumannii,Poland,2017,1,1,,False
Acinetobacter baumannii,Poland,2018,7,7,,False
Acinetobacter baumannii,Poland,2019,7,4,,False
Acinetobacter baumannii,Poland,2020,10,7,70.0,True
Acinetobacter baumannii,Poland,2021,11,10,90.91,True
Acinetobacter baumannii,Poland,2022,6,6,,False
Acinetobacter baumannii,Poland,2023,5,5,,False
Acinetobacter baumannii,Poland,2024,4,4,,False
Acinetobacter baumannii,Portugal,2004,3,2,,False
Acinetobacter baumannii,Portugal,2008,4,2,,False
Acinetobacter baumannii,Portugal,2009,5,5,,False
Acinetobacter baumannii,Portugal,2010,7,6,,False
Acinetobacter baumannii,Portugal,2011,2,2,,False
Acinetobacter baumannii,Portugal,2012,4,3,,False
Acinetobacter baumannii,Portugal,2013,3,3,,False
Acinetobacter baumannii,Portugal,2014,8,7,,False
Acinetobacter baumannii,Portugal,2015,7,6,,False
Acinetobacter baumannii,Portugal,2016,2,2,,False
Acinetobacter baumannii,Portugal,2017,2,2,,False
Acinetobacter baumannii,Portugal,2018,4,2,,False
Acinetobacter baumannii,Portugal,2020,9,1,,False
Acinetobacter baumannii,Portugal,2021,4,1,,False
Acinetobacter baumannii,Portugal,2022,8,1,,False
Acinetobacter baumannii,Portugal,2023,1,0,,False
Acinetobacter baumannii,Puerto Rico,2006,1,1,,False
Acinetobacter baumannii,Qatar,2019,1,0,,False
Acinetobacter baumannii,Qatar,2021,3,1,,False
Acinetobacter baumannii,Qatar,2022,2,0,,False
Acinetobacter baumannii,Qatar,2023,1,0,,False
Acinetobacter baumannii,Qatar,2024,1,1,,False
Acinetobacter baumannii,Romania,2008,9,5,,False
