Organism,Country,Alert_Year,Current_MDR_Rate_%,Already_Above_50,ARIMA_Forecast_%,Prophet_Forecast_%,Ensemble_Mean_%,ARIMA_Alert,Prophet_Alert,Both_Models_Alert,Models_Alerting
Escherichia coli,Israel,2025,75.0,True,58.7,58.66,58.68,True,True,True,ARIMA+Prophet
Escherichia coli,Italy,2025,55.1,True,49.05,53.93,51.49,False,True,False,Prophet
Escherichia coli,"Korea, South",2025,70.37,True,63.06,74.72,68.89,True,True,True,ARIMA+Prophet
Escherichia coli,Lithuania,2026,25.93,False,28.98,50.65,39.82,False,True,False,Prophet
Escherichia coli,Mexico,2025,82.14,True,91.63,94.72,93.18,True,True,True,ARIMA+Prophet
Escherichia coli,Netherlands,2028,28.57,False,46.74,51.62,49.18,False,True,False,Prophet
Escherichia coli,Poland,2026,61.54,True,44.75,50.06,47.4,False,True,False,Prophet
Escherichia coli,Portugal,2028,39.02,False,51.61,44.68,48.14,True,False,False,ARIMA
Escherichia coli,Spain,2027,29.82,False,38.13,50.58,44.36,False,True,False,Prophet
Escherichia coli,Sweden,2025,21.05,False,77.4,35.16,56.28,True,False,False,ARIMA
Escherichia coli,Switzerland,2027,37.5,False,36.3,50.64,43.47,False,True,False,Prophet
Escherichia coli,Taiwan,2025,65.62,True,65.39,69.96,67.68,True,True,True,ARIMA+Prophet
Escherichia coli,Thailand,2025,68.75,True,69.97,78.89,74.43,True,True,True,ARIMA+Prophet
Escherichia coli,Turkey,2025,85.0,True,89.49,81.45,85.47,True,True,True,ARIMA+Prophet
Escherichia coli,United States,2026,49.65,False,52.94,51.88,52.41,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Argentina,2025,77.78,True,73.27,81.23,77.25,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Belgium,2025,59.38,True,36.62,52.19,44.4,False,True,False,Prophet
Klebsiella pneumoniae,Brazil,2025,65.62,True,47.56,78.08,62.82,False,True,False,Prophet
Klebsiella pneumoniae,Chile,2025,78.57,True,84.46,86.89,85.68,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,China,2025,47.06,False,36.24,60.48,48.36,False,True,False,Prophet
Klebsiella pneumoniae,Colombia,2025,59.09,True,64.51,71.09,67.8,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Croatia,2025,80.7,True,75.37,85.49,80.43,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Czech Republic,2025,52.63,True,71.04,63.72,67.38,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,France,2025,46.67,False,48.7,54.82,51.76,False,True,False,Prophet
Klebsiella pneumoniae,Greece,2025,100.0,True,98.94,88.76,93.85,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Hungary,2025,38.71,False,24.92,50.31,37.62,False,True,False,Prophet
Klebsiella pneumoniae,India,2025,79.63,True,73.27,80.17,76.72,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Israel,2025,61.54,True,68.11,62.14,65.12,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Italy,2025,80.49,True,68.58,81.31,74.94,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,"Korea, South",2025,36.36,False,70.45,43.89,57.17,True,False,False,ARIMA
Klebsiella pneumoniae,Mexico,2025,80.0,True,72.92,89.85,81.38,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Poland,2025,81.25,True,73.75,83.21,78.48,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Portugal,2025,72.73,True,67.97,65.2,66.59,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Romania,2025,54.84,True,66.43,60.38,63.4,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Spain,2026,47.54,False,50.44,50.73,50.58,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Taiwan,2025,37.5,False,59.38,56.67,58.03,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,Turkey,2025,64.29,True,74.15,96.38,85.26,True,True,True,ARIMA+Prophet
Klebsiella pneumoniae,United Kingdom,2025,46.15,False,50.5,51.67,51.08,True,True,True,ARIMA+Prophet
Pseudomonas aeruginosa,Brazil,2025,25.0,False,71.07,31.06,51.06,True,False,False,ARIMA
Pseudomonas aeruginosa,Colombia,2025,27.78,False,54.47,40.19,47.33,True,False,False,ARIMA
Pseudomonas aeruginosa,India,2025,52.94,True,48.49,56.91,52.7,False,True,False,Prophet
Pseudomonas aeruginosa,Mexico,2026,53.33,True,50.07,38.84,44.46,True,False,False,ARIMA
Pseudomonas aeruginosa,Taiwan,2027,8.33,False,64.7,27.12,45.91,True,False,False,ARIMA
Serratia marcescens,France,2025,80.0,True,63.79,61.79,62.79,True,True,True,ARIMA+Prophet
Serratia marcescens,Italy,2025,50.0,False,25.45,53.05,39.25,False,True,False,Prophet
Serratia marcescens,United States,2026,40.0,False,51.85,42.89,47.37,True,False,False,ARIMA
Staphylococcus aureus,"Korea, South",2025,64.29,True,71.87,44.89,58.38,True,False,False,ARIMA
Staphylococcus aureus,Mexico,2025,65.0,True,37.47,54.39,45.93,False,True,False,Prophet
Staphylococcus aureus,Taiwan,2025,31.03,False,26.43,51.72,39.08,False,True,False,Prophet
Staphylococcus epidermidis,Belgium,2025,77.78,True,65.84,93.44,79.64,True,True,True,ARIMA+Prophet
Staphylococcus epidermidis,France,2025,61.11,True,79.26,83.24,81.25,True,True,True,ARIMA+Prophet
Staphylococcus epidermidis,Germany,2025,52.94,True,66.84,59.54,63.19,True,True,True,ARIMA+Prophet
Staphylococcus epidermidis,Italy,2025,62.5,True,65.05,85.72,75.38,True,True,True,ARIMA+Prophet
Staphylococcus epidermidis,Spain,2025,75.0,True,82.64,89.37,86.0,True,True,True,ARIMA+Prophet
Staphylococcus epidermidis,United States,2025,65.31,True,61.89,50.77,56.33,True,True,True,ARIMA+Prophet
Streptococcus pneumoniae,Australia,2028,6.67,False,78.31,6.24,42.28,True,False,False,ARIMA
