Organism,Country,Year,Age_Category,N_Isolates,MDR_Count,XDR_Count,PDR_Count,MDR_Rate_%,XDR_Rate_%,PDR_Rate_%,Income_Group,MDR_Definition
Klebsiella pneumoniae,Turkey,2006,Elderly,12,2,1,0,16.67,8.33,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2006,Pediatric,16,2,0,0,12.5,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2006,Elderly,150,39,25,5,26.0,16.67,3.33,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2007,Elderly,12,4,3,0,33.33,25.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2007,Elderly,20,2,1,0,10.0,5.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2007,Elderly,10,2,2,0,20.0,20.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2007,Elderly,35,2,0,0,5.71,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Chile,2007,Elderly,11,8,7,0,72.73,63.64,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Croatia,2007,Pediatric,11,3,1,0,27.27,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Croatia,2007,Elderly,20,9,7,0,45.0,35.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2007,Elderly,27,3,1,0,11.11,3.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2007,Elderly,20,4,2,0,20.0,10.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2007,Elderly,11,1,1,0,9.09,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Hong Kong,2007,Elderly,11,2,1,0,18.18,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,India,2007,Pediatric,17,14,10,0,82.35,58.82,0.0,Lower Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2007,Elderly,20,12,9,3,60.0,45.0,15.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2007,Elderly,29,10,8,2,34.48,27.59,6.9,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,"Korea, South",2007,Elderly,26,7,2,0,26.92,7.69,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2007,Pediatric,10,3,2,0,30.0,20.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Slovenia,2007,Elderly,10,2,0,0,20.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2007,Elderly,17,6,0,0,35.29,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Taiwan,2007,Elderly,25,10,5,1,40.0,20.0,4.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2007,Pediatric,36,2,1,0,5.56,2.78,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2007,Elderly,227,38,25,6,16.74,11.01,2.64,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2008,Elderly,35,22,14,1,62.86,40.0,2.86,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2008,Elderly,13,1,0,0,7.69,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2008,Elderly,14,2,1,0,14.29,7.14,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2008,Elderly,12,8,6,0,66.67,50.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Colombia,2008,Pediatric,11,7,3,0,63.64,27.27,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Colombia,2008,Elderly,16,9,6,5,56.25,37.5,31.25,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Croatia,2008,Elderly,11,8,7,0,72.73,63.64,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2008,Elderly,13,1,0,0,7.69,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2008,Elderly,38,9,4,0,23.68,10.53,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2008,Elderly,19,3,2,0,15.79,10.53,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,India,2008,Pediatric,18,13,9,1,72.22,50.0,5.56,Lower Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2008,Elderly,16,6,5,0,37.5,31.25,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2008,Elderly,25,17,11,5,68.0,44.0,20.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2008,Elderly,41,17,10,3,41.46,24.39,7.32,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,"Korea, South",2008,Elderly,16,3,3,1,18.75,18.75,6.25,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2008,Elderly,10,3,2,1,30.0,20.0,10.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2008,Pediatric,14,1,0,0,7.14,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2008,Elderly,66,20,10,1,30.3,15.15,1.52,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Turkey,2008,Elderly,17,5,3,0,29.41,17.65,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2008,Pediatric,14,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2008,Elderly,104,16,11,1,15.38,10.58,0.96,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2009,Elderly,19,8,3,0,42.11,15.79,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2009,Elderly,12,3,2,0,25.0,16.67,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2009,Pediatric,13,8,5,0,61.54,38.46,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2009,Elderly,16,9,6,0,56.25,37.5,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2009,Elderly,16,1,0,0,6.25,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Croatia,2009,Elderly,17,9,8,0,52.94,47.06,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2009,Elderly,56,10,7,1,17.86,12.5,1.79,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2009,Elderly,17,4,2,0,23.53,11.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Greece,2009,Elderly,11,9,8,3,81.82,72.73,27.27,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2009,Elderly,34,16,10,1,47.06,29.41,2.94,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2009,Elderly,28,13,10,1,46.43,35.71,3.57,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,"Korea, South",2009,Elderly,19,7,7,0,36.84,36.84,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2009,Pediatric,25,13,8,3,52.0,32.0,12.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2009,Elderly,14,3,3,0,21.43,21.43,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Poland,2009,Elderly,14,9,5,0,64.29,35.71,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2009,Elderly,11,7,6,2,63.64,54.55,18.18,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Romania,2009,Elderly,11,9,8,0,81.82,72.73,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2009,Pediatric,11,2,1,0,18.18,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2009,Elderly,69,9,5,0,13.04,7.25,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2009,Elderly,18,3,0,0,16.67,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2009,Pediatric,13,2,0,0,15.38,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2009,Elderly,132,43,33,4,32.58,25.0,3.03,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2010,Elderly,29,15,12,2,51.72,41.38,6.9,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2010,Elderly,11,2,1,0,18.18,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2010,Elderly,26,6,1,0,23.08,3.85,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Croatia,2010,Elderly,21,11,9,0,52.38,42.86,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2010,Elderly,22,8,4,0,36.36,18.18,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2010,Elderly,31,10,2,0,32.26,6.45,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2010,Elderly,13,2,0,0,15.38,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2010,Pediatric,12,6,2,1,50.0,16.67,8.33,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2010,Elderly,56,29,19,3,51.79,33.93,5.36,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2010,Elderly,24,13,12,5,54.17,50.0,20.83,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2010,Elderly,10,4,3,0,40.0,30.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2010,Elderly,34,13,10,0,38.24,29.41,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2010,Elderly,11,2,0,0,18.18,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2010,Pediatric,11,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2010,Elderly,90,22,12,0,24.44,13.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2011,Elderly,41,11,6,0,26.83,14.63,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2011,Elderly,21,4,2,0,19.05,9.52,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2011,Elderly,25,5,2,0,20.0,8.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2011,Elderly,18,15,15,7,83.33,83.33,38.89,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2011,Elderly,88,19,11,0,21.59,12.5,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2011,Pediatric,20,1,0,0,5.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2011,Elderly,88,11,10,0,12.5,11.36,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2012,Elderly,32,6,2,0,18.75,6.25,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2012,Elderly,33,4,3,0,12.12,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2012,Elderly,19,1,1,0,5.26,5.26,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2012,Elderly,36,24,20,4,66.67,55.56,11.11,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2012,Elderly,17,9,0,0,52.94,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2012,Elderly,59,19,7,0,32.2,11.86,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2012,Pediatric,19,2,0,0,10.53,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2012,Elderly,90,11,5,0,12.22,5.56,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2013,Elderly,15,4,2,0,26.67,13.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2013,Elderly,33,2,1,0,6.06,3.03,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2013,Elderly,27,6,3,0,22.22,11.11,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2013,Elderly,12,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2013,Elderly,17,1,0,0,5.88,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2013,Elderly,56,24,19,4,42.86,33.93,7.14,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2013,Elderly,17,8,2,0,47.06,11.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2013,Elderly,75,19,8,1,25.33,10.67,1.33,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Switzerland,2013,Elderly,15,3,2,0,20.0,13.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2013,Pediatric,12,2,1,0,16.67,8.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2013,Elderly,83,9,3,1,10.84,3.61,1.2,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2014,Elderly,11,1,0,0,9.09,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2014,Elderly,12,8,5,0,66.67,41.67,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2014,Elderly,32,3,1,0,9.38,3.12,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2014,Elderly,25,4,0,0,16.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2014,Elderly,47,16,6,0,34.04,12.77,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2014,Elderly,40,11,3,0,27.5,7.5,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Greece,2014,Elderly,19,14,11,3,73.68,57.89,15.79,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2014,Elderly,11,1,1,0,9.09,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2014,Pediatric,12,7,6,0,58.33,50.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2014,Elderly,73,35,28,3,47.95,38.36,4.11,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2014,Elderly,15,6,2,0,40.0,13.33,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2014,Elderly,65,22,7,0,33.85,10.77,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Sweden,2014,Elderly,16,4,0,0,25.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Switzerland,2014,Elderly,11,1,0,0,9.09,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2014,Elderly,23,2,0,0,8.7,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2014,Pediatric,14,1,1,0,7.14,7.14,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2014,Elderly,73,9,5,0,12.33,6.85,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2015,Elderly,15,9,2,0,60.0,13.33,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2015,Elderly,29,12,7,2,41.38,24.14,6.9,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2015,Elderly,16,11,6,0,68.75,37.5,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2015,Elderly,37,2,2,0,5.41,5.41,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Chile,2015,Elderly,15,7,2,0,46.67,13.33,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,China,2015,Elderly,17,11,7,4,64.71,41.18,23.53,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Colombia,2015,Elderly,22,8,1,0,36.36,4.55,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2015,Elderly,10,3,0,0,30.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2015,Elderly,39,16,2,0,41.03,5.13,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2015,Elderly,42,3,0,0,7.14,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Greece,2015,Elderly,11,8,8,1,72.73,72.73,9.09,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Hong Kong,2015,Elderly,12,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2015,Elderly,13,3,2,0,23.08,15.38,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2015,Elderly,36,22,13,0,61.11,36.11,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2015,Pediatric,15,7,1,0,46.67,6.67,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2015,Elderly,23,7,1,0,30.43,4.35,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Singapore,2015,Elderly,17,5,2,0,29.41,11.76,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2015,Elderly,85,35,15,1,41.18,17.65,1.18,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2015,Elderly,76,8,4,1,10.53,5.26,1.32,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2016,Elderly,17,8,5,0,47.06,29.41,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2016,Elderly,14,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2016,Elderly,23,8,2,0,34.78,8.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2016,Elderly,23,2,2,0,8.7,8.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Chile,2016,Elderly,13,6,1,0,46.15,7.69,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,China,2016,Pediatric,17,7,0,0,41.18,0.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,China,2016,Elderly,33,11,3,0,33.33,9.09,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Denmark,2016,Elderly,25,7,0,0,28.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2016,Elderly,35,9,7,0,25.71,20.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2016,Elderly,31,8,1,0,25.81,3.23,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Greece,2016,Elderly,29,19,18,5,65.52,62.07,17.24,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Hong Kong,2016,Elderly,17,3,1,0,17.65,5.88,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Ireland,2016,Elderly,11,2,1,0,18.18,9.09,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2016,Elderly,51,34,27,4,66.67,52.94,7.84,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Japan,2016,Elderly,16,2,0,0,12.5,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,"Korea, South",2016,Elderly,15,4,0,0,26.67,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2016,Pediatric,16,8,3,0,50.0,18.75,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2016,Elderly,10,7,3,0,70.0,30.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Philippines,2016,Elderly,13,6,1,0,46.15,7.69,0.0,Lower Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Portugal,2016,Elderly,19,7,1,0,36.84,5.26,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2016,Elderly,54,22,9,1,40.74,16.67,1.85,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2016,Elderly,16,2,0,0,12.5,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2016,Pediatric,12,1,0,0,8.33,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2016,Elderly,63,10,2,0,15.87,3.17,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Argentina,2017,Elderly,28,16,7,0,57.14,25.0,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Australia,2017,Elderly,10,2,0,0,20.0,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Belgium,2017,Elderly,23,10,2,0,43.48,8.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Brazil,2017,Elderly,21,17,8,0,80.95,38.1,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Canada,2017,Elderly,15,1,0,0,6.67,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Colombia,2017,Elderly,15,3,1,0,20.0,6.67,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Czech Republic,2017,Elderly,38,22,4,0,57.89,10.53,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,France,2017,Elderly,44,15,5,0,34.09,11.36,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Germany,2017,Elderly,35,3,1,0,8.57,2.86,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Hungary,2017,Elderly,10,8,2,0,80.0,20.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Israel,2017,Elderly,17,10,1,0,58.82,5.88,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Italy,2017,Elderly,50,41,35,4,82.0,70.0,8.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Japan,2017,Elderly,23,2,0,0,8.7,0.0,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Mexico,2017,Pediatric,23,15,1,0,65.22,4.35,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,South Africa,2017,Pediatric,16,15,2,0,93.75,12.5,0.0,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,South Africa,2017,Elderly,13,6,3,1,46.15,23.08,7.69,Upper Middle Income,Magiorakos2012_R+I
Klebsiella pneumoniae,Spain,2017,Elderly,63,21,8,0,33.33,12.7,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United Kingdom,2017,Elderly,35,6,2,0,17.14,5.71,0.0,High Income,Magiorakos2012_R+I
Klebsiella pneumoniae,United States,2017,Elderly,21,0,0,0,0.0,0.0,0.0,High Income,Magiorakos2012_R+I
